branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate, outstanding , weekly_disbursement , weekly_new_borrower_per_bp 
POINTID_43,2018-10-13,AREAID_29,REGION_JH,2017-09-09,1882,8,>10%,3650,25,9
POINTID_25,2018-10-13,AREAID_20,REGION_JH,2017-06-10,1562,7,0%-1%,2800,250,9
POINTID_50,2018-10-13,AREAID_29,REGION_JH,2017-09-09,1238,8,5%-10%,2500,135,8
POINTID_99,2018-10-13,AREAID_17,REGION_JH,2018-08-18,145,2,0%,350,30,11
POINTID_38,2018-10-13,AREAID_1,REGION_JH,2017-08-12,1506,6,2.5%-5%,2650,30,0
POINTID_24,2018-10-13,AREAID_20,REGION_JH,2017-06-10,1081,5,2.5%-5%,1850,135,1
POINTID_36,2018-10-13,AREAID_1,REGION_JH,2017-08-12,1526,6,5%-10%,3100,200,5
POINTID_90,2018-10-13,AREAID_11,REGION_JH,2018-08-11,164,2,0%,400,5,2
POINTID_50,2018-10-06,AREAID_29,REGION_JH,2017-09-09,1204,6,5%-10%,2450,65,3
POINTID_118,2018-10-06,AREAID_20,REGION_JH,2017-06-03,688,5,5%-10%,1000,0,1
POINTID_51,2018-10-06,AREAID_29,REGION_JH,2017-09-09,1541,8,>10%,3100,10,1
POINTID_92,2018-10-06,AREAID_4,REGION_JH,2018-07-28,248,2,0%,600,110,20
POINTID_99,2018-10-06,AREAID_17,REGION_JH,2018-08-18,134,1,0%,300,65,24
POINTID_44,2018-10-06,AREAID_29,REGION_JH,2017-09-09,1678,9,5%-10%,3200,80,4
POINTID_28,2018-10-06,AREAID_20,REGION_JH,2017-06-03,1147,5,5%-10%,1950,65,4
POINTID_89,2018-10-06,AREAID_11,REGION_JH,2018-07-28,196,2,0%,450,25,5
POINTID_35,2018-10-06,AREAID_1,REGION_JH,2017-07-29,1519,6,5%-10%,2500,110,2
POINTID_36,2018-10-06,AREAID_1,REGION_JH,2017-08-12,1505,6,5%-10%,3050,65,6
POINTID_38,2018-10-06,AREAID_1,REGION_JH,2017-08-12,1512,6,2.5%-5%,2750,30,0
